vuln_id,cve,scanner,component,severity,state,disposition,title,justification,url
345912316,CVE-2026-57433,Container Scanning,perl-base,CRITICAL,DISMISSED,Not applicable,CVE-2026-57433 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912316
345912305,CVE-2026-42496,Container Scanning,perl-base,CRITICAL,DISMISSED,Not applicable,CVE-2026-42496 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912305
345912264,CVE-2026-8376,Container Scanning,perl-base,CRITICAL,DISMISSED,Not applicable,CVE-2026-8376 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912264
345912200,CVE-2026-58016,Container Scanning,libglib2.0-0t64,CRITICAL,DISMISSED,Acceptable risk,CVE-2026-58016 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912200
345912170,CVE-2026-13221,Container Scanning,perl-base,CRITICAL,DISMISSED,Not applicable,CVE-2026-13221 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:perl-base,"Not applicable — no perl execution path. The container runs a single python/uvicorn process; nothing in the app, scripts, or runtime tooling invokes perl (verified across the repo, #304). perl-base is present only because it is a dpkg Essential package (cannot be removed without breaking dpkg/apt). Worst-case impact of the perl-base CVE set is a crash of a perl process that never runs. No fixed perl-base exists in Debian trixie: verified 2026-08-06 against freshly pulled python:3.11-slim and python:3.13-slim — both Debian 13.6 with the same perl-base 5.40.1-6. The Dockerfile's unpinned base tag means a routine rebuild picks up Debian's fix automatically once released, after which this finding stops appearing in scans. Refs #304.",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912170
345912321,CVE-2026-41992,Container Scanning,gzip,HIGH,DISMISSED,Not applicable,CVE-2026-41992 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:gzip,"gzip: base shell utilities never invoked by the serving process on untrusted input. No fix in trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912321
345912315,CVE-2026-53615,Container Scanning,liblastlog2-2,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:liblastlog2-2,"liblastlog2-2: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912315
345912300,CVE-2026-53615,Container Scanning,libuuid1,HIGH,DISMISSED,Not applicable,CVE-2026-53615 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libuuid1,"libuuid1: single non-root Python process; mount/login/lastlog functionality is never invoked. No fixed version in Debian trixie. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912300
345912277,CVE-2026-58015,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58015 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912277
345912268,CVE-2026-58013,Container Scanning,libglib2.0-0t64,HIGH,DISMISSED,Acceptable risk,CVE-2026-58013 in registry.gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator:libglib2.0-0t64,"libglib2.0-0t64: reachable via the WeasyPrint/Pango PDF stack, but rendered content is our own templates + GitLab data, not arbitrary uploads. No fix; clears on refresh. D4 review, issue #304 (note 3650491306).",https://gitlab.com/gl-demo-ultimate-lmwilliams/nce-safe-simulator/-/security/vulnerabilities/345912268
